,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
54,Hombres,37784,531684,7.1064767790000000000000
55,Mujeres,13032,211048,6.1748986010000000000000
56,Hombres,144816,790504,18.319451890000000000000
57,Mujeres,101803,438534,23.214391590000000000000
58,Hombres,60857,263088,23.131803810000000000000
59,Mujeres,44308,138252,32.048722620000000000000
60,Hombres,186805,1792544,10.421222580000000000000
61,Mujeres,98856,895337,11.041205710000000000000
62,Hombres,79794,487287,16.375154680000000000000
63,Mujeres,65218,285725,22.825444050000000000000
64,Hombres,31237,326311,9.5727695360000000000000
65,Mujeres,13734,161682,8.4944520730000000000000
66,Hombres,4299545,26379882,16.298575560000000000000
67,Mujeres,2715510,15296986,17.751928390000000000000
68,Hombres,57749,250123,23.088240590000000000000
69,Mujeres,27850,149494,18.629510210000000000000
70,Hombres,155352,759631,20.450982120000000000000
71,Mujeres,109288,409378,26.696109710000000000000
72,Hombres,8430,150622,5.5967919690000000000000
73,Mujeres,4052,78803,5.1419362210000000000000
74,Hombres,17116,211678,8.0858662690000000000000
75,Mujeres,17831,114505,15.572245750000000000000
76,Hombres,177317,642237,27.609278190000000000000
77,Mujeres,73347,345095,21.254147410000000000000
78,Hombres,16334,157132,10.395081840000000000000
79,Mujeres,10828,103079,10.504564460000000000000
80,Hombres,53275,1149356,4.635204410000000000000
81,Mujeres,59508,495849,12.001234250000000000000
82,Hombres,184094,844239,21.805910410000000000000
83,Mujeres,119483,442409,27.007361970000000000000
84,Hombres,335779,2269308,14.796537090000000000000
85,Mujeres,174367,1631018,10.69068520000000000000
86,Hombres,66291,373460,17.750495370000000000000
87,Mujeres,31148,185859,16.758940920000000000000
88,Hombres,289234,1168007,24.763036520000000000000
89,Mujeres,157011,710369,22.102738150000000000000
90,Hombres,49167,708538,6.9392185030000000000000
91,Mujeres,72371,412335,17.551505450000000000000
92,Hombres,94694,613678,15.430567820000000000000
93,Mujeres,64789,356295,18.184089030000000000000
94,Hombres,341041,1741816,19.579622650000000000000
95,Mujeres,209698,1083908,19.34647590000000000000
96,Hombres,693433,3503229,19.794109950000000000000
97,Mujeres,362438,1907713,18.998560060000000000000
98,Hombres,137251,971632,14.12582130000000000000
99,Mujeres,94871,630304,15.051625880000000000000
100,Hombres,43578,403404,10.802570130000000000000
101,Mujeres,32680,265228,12.321474350000000000000
102,Hombres,20394,255059,7.9957970510000000000000
103,Mujeres,16525,158359,10.435150510000000000000
104,Hombres,310295,1180942,26.275210810000000000000
105,Mujeres,118852,646879,18.373142430000000000000
106,Hombres,72511,868184,8.3520313670000000000000
107,Mujeres,135968,598144,22.73164990000000000000
108,Hombres,236459,1307234,18.088498310000000000000
109,Mujeres,190831,825016,23.130581710000000000000
110,Hombres,89439,395897,22.591482130000000000000
111,Mujeres,57421,253590,22.643243030000000000000
112,Hombres,19336,320098,6.0406500510000000000000
113,Mujeres,13020,193371,6.7331709510000000000000
114,Hombres,104308,594132,17.556367950000000000000
115,Mujeres,63812,344038,18.54795110000000000000
116,Hombres,75157,722151,10.407380170000000000000
117,Mujeres,54790,427655,12.811729080000000000000
118,Hombres,102370,634839,16.125348320000000000000
119,Mujeres,77039,354437,21.735597580000000000000
120,Hombres,39321,536739,7.3259070050000000000000
121,Mujeres,10456,217651,4.8040211160000000000000
122,Hombres,152786,807392,18.92339780000000000000
123,Mujeres,111028,459382,24.168992250000000000000
124,Hombres,62589,266999,23.441660830000000000000
125,Mujeres,48142,144746,33.259641030000000000000
126,Hombres,183207,1745193,10.497807410000000000000
127,Mujeres,108357,883852,12.25963170000000000000
128,Hombres,83288,485632,17.15043490000000000000
129,Mujeres,72367,300472,24.084440480000000000000
130,Hombres,27950,341301,8.1892523020000000000000
131,Mujeres,15342,167753,9.1455890510000000000000
132,Hombres,4290567,26777675,16.022925810000000000000
133,Mujeres,2772116,15557223,17.818835660000000000000
134,Hombres,54585,252225,21.641391610000000000000
135,Mujeres,28398,148795,19.085318730000000000000
136,Hombres,160036,769610,20.794428350000000000000
137,Mujeres,109074,418661,26.053059640000000000000
138,Hombres,9609,153192,6.2725207580000000000000
139,Mujeres,4673,78788,5.931106260000000000000
140,Hombres,17815,211438,8.4256377760000000000000
141,Mujeres,18678,116137,16.082729880000000000000
142,Hombres,168626,639837,26.354524670000000000000
143,Mujeres,71230,327465,21.751942960000000000000
144,Hombres,16236,157257,10.324500660000000000000
145,Mujeres,10578,103167,10.253278660000000000000
146,Hombres,57328,1156983,4.9549561230000000000000
147,Mujeres,59348,502219,11.817155460000000000000
148,Hombres,184026,858003,21.448176750000000000000
149,Mujeres,121649,459871,26.452853080000000000000
150,Hombres,320777,2272775,14.113891610000000000000
151,Mujeres,167031,1609745,10.376239710000000000000
152,Hombres,68157,382252,17.830384140000000000000
153,Mujeres,33372,185771,17.964052520000000000000
154,Hombres,303831,1211601,25.076819840000000000000
155,Mujeres,152421,736208,20.7035240000000000000
156,Hombres,43653,771353,5.6592766220000000000000
157,Mujeres,67750,463720,14.610109550000000000000
158,Hombres,92533,613751,15.076635310000000000000
159,Mujeres,70600,396460,17.807597240000000000000
160,Hombres,351469,1771504,19.840147130000000000000
161,Mujeres,229841,1123242,20.462286840000000000000
162,Hombres,698696,3551666,19.672345320000000000000
163,Mujeres,381555,1978197,19.288018330000000000000
164,Hombres,140757,993033,14.174453420000000000000
165,Mujeres,108677,642263,16.920949830000000000000
166,Hombres,46983,416229,11.287776680000000000000
167,Mujeres,34258,264957,12.929645190000000000000
168,Hombres,18787,250253,7.5072027110000000000000
169,Mujeres,18341,155013,11.831910870000000000000
170,Hombres,313260,1190220,26.319503960000000000000
171,Mujeres,129821,656880,19.763274880000000000000
172,Hombres,67299,908420,7.4083573680000000000000
173,Mujeres,139552,585550,23.832635980000000000000
174,Hombres,233484,1333871,17.504241410000000000000
175,Mujeres,186885,860111,21.728009520000000000000
176,Hombres,95335,402911,23.661553050000000000000
177,Mujeres,56480,257581,21.927083130000000000000
178,Hombres,22049,332109,6.6390853610000000000000
179,Mujeres,14435,192105,7.5141198820000000000000
180,Hombres,104331,593450,17.580419580000000000000
181,Mujeres,60835,342883,17.742203610000000000000
182,Hombres,69407,699118,9.9277947360000000000000
183,Mujeres,48174,391922,12.291731520000000000000
184,Hombres,99551,619562,16.067964140000000000000
185,Mujeres,71519,344719,20.747043240000000000000
186,Hombres,31508,542164,5.8115256640000000000000
187,Mujeres,12992,230322,5.6407985340000000000000
188,Hombres,148458,791775,18.750023680000000000000
189,Mujeres,122705,443174,27.687770490000000000000
190,Hombres,61391,272015,22.568975980000000000000
191,Mujeres,47195,157256,30.011573490000000000000
192,Hombres,174362,1817213,9.5950227080000000000000
193,Mujeres,100976,903511,11.175956910000000000000
194,Hombres,90213,495060,18.222639680000000000000
195,Mujeres,73132,302596,24.168197860000000000000
196,Hombres,26015,346825,7.5009010310000000000000
197,Mujeres,19941,177934,11.206964380000000000000
198,Hombres,4348251,26993388,16.108578150000000000000
199,Mujeres,2736286,15870315,17.241535530000000000000
200,Hombres,58213,258498,22.519710020000000000000
201,Mujeres,28233,154828,18.235073760000000000000
202,Hombres,155452,774211,20.078764060000000000000
203,Mujeres,104667,441806,23.690714930000000000000
204,Hombres,9108,156294,5.8274789820000000000000
205,Mujeres,4607,85853,5.3661491150000000000000
206,Hombres,18416,211113,8.7232903710000000000000
207,Mujeres,18830,116087,16.220593180000000000000
208,Hombres,176864,643388,27.489477580000000000000
209,Mujeres,63874,347840,18.363040480000000000000
210,Hombres,16178,157662,10.261191660000000000000
211,Mujeres,11762,107322,10.959542310000000000000
212,Hombres,58917,1141005,5.1636057690000000000000
213,Mujeres,61076,477561,12.789151540000000000000
214,Hombres,190135,878534,21.642304110000000000000
215,Mujeres,109855,458574,23.955784670000000000000
216,Hombres,323505,2312440,13.989768380000000000000
217,Mujeres,197823,1706546,11.5920110000000000000
218,Hombres,70110,384284,18.244319310000000000000
219,Mujeres,29600,183906,16.095179060000000000000
220,Hombres,307479,1235657,24.883847220000000000000
